Title,Address,Editor-Notes,Category,ALPDEntry
"Weekly Dispatch, The (weekly)","William L. Hoefgen, pub. and ed., North Street, Labor Temple, P. O. Box 1113, San Antonio, Texas.","Official organ, Trades Counci1. International Labor News, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Weekly Dispatch, The (weekly). Saturdays. Established 1894, 8-12 pages, $1.50, circulation 8,600. William L. Hoef- gen, pub. and ed., North Street, Labor Temple, P. O. Box 1113, San Antonio, Texas. Official organ, Trades Counci1. International Labor News, American Federa tion of Labor Weekly News. Uses mats."
Salt Lake City Utah Labor News (weekly),"Salt Lake City, UT",NONE,General Labor (U.S.),"Salt Lake City Utah Labor News (weekly). Salt Lake City, Utah."
Virginia Unionist (weekly),"155 Bank Street, Norfolk, Va.",NONE,General Labor (U.S.),"Virginia Unionist (weekly). People's Press, Norfolk, Va. Times-Advocate (weekly). 155 Bank Street, Norfolk, Va."
Richmond Labor Herald (weekly),"The Labor Herald Publishing Co. Inc., 1306 E. Franklin Street, Richmond, Va. R. B. Greenway","Official organ, Central Trades arid",General Labor (U.S.),"Richmond Labor Herald (weekly). Fridays. Established 1924, 8 pages, $.50, circulation 2000. The Labor Herald Publishing Co. Inc., 1306 E. Franklin Street, Richmond, Va. R. B. Greenway, ed. Official organ, Central Trades arid"
Labor Council,"Richmond, VA",NONE,General Labor (U.S.),"Labor Council. Uses mats. Square Deal. Central Trades and Labor Council, Richmond, Va."
Southwest Washington Labor Press (weekly),"Louis C. Hinman, pub. and ed., 104 North G Street, Aberdeen, Wash.","Official organ, Central Labor Council, etc. International Labor News. Uses mats.",General Labor (U.S.),"Southwest Washington Labor Press (weekly). Fridays. Estab lished 1914, 8-12 pages, $1.50, circulation 1,200. Louis C. Hinman, pub. and ed., 104 North G Street, Aberdeen, Wash. Official organ, Central Labor Council, etc. In ternational Labor News. Uses mats."
"Labor World, The","Bellingham, WA",NONE,General Labor (U.S.),"Labor World, The. Bellingham, Wash."
"Labor Journal, The (weekly)","Labor Journal Publishing Co., Labor Temple, Everett, Wash. Henry Arends, ed.","Owned by 14 unions. Official organ, Central Labor Counci1. International Labor News, American Federation of Labor Weekly News, Cooperative Service. Uses mats.",General Labor (U.S.),"Labor Journal, The (weekly). Fridays. Established 1898, 4 pages, $1, circulation 1,500. Labor Journal Publishing Co., Labor Temple, Everett, Wash. Henry Arends, ed. Owned by 14 unions. Official organ, Central Labor Counci1. International Labor News, American Federation of Labor Weekly News, Cooperative Service. Uses mats."
"Northwest Painter, The (monthly)","Northwest Painters Conference, Labor Temple, Everett, Wash. Henry /Arends",Uses mats.,General Labor (U.S.),"Northwest Painter, The (monthly). Established 1922, 4 pages, $.50, circulation 2,500. Northwest Painters Conference, Labor Temple, Everett, Wash. Henry /Arends, ed. Uses mats."
Seattle Union Record (daily),"Union Record Building, 1915 First Avenue, Seattle, Wash.","Owned by central body and unions. E. B. Ault, pub. and ed., Saul Haas, man. ed. International News Service, International Labor News, Federated Press. Uses mats.",General Labor (U.S.),"Seattle Union Record (daily). Established 1900, 8-48 pages, $9, circulation 30,195. American Free Press, Union Record Building, 1915 First Avenue, Seattle, Wash. Owned by central body and unions. E. B. Ault, pub. and ed., Saul Haas, man. ed. International News Ser vice, International Labor News, Federated Press. Uses mats."
Labor World (weekly),"The Labor World, 311 Sprague Ave., Spokane, Wash. William J. Coates","Official or gan, Central Labor Council, State Federation of Labor. International Labor News, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Labor World (weekly). Fridays. Established 1904, 8 pages, $1, circulation 2,000. The Labor World, 311 Sprague Ave., Spokane, Wash. William J. Coates, ed. Official or gan, Central Labor Council, State Federation of Labor. International Labor News, American Federation of Labor Weekly News. Uses mats."
Tacoma Labor Advocate (weekly),"Labor Advocate Publishing Co., 115154 Broad way, Tacoma, Wash.",NONE,General Labor (U.S.),"Tacoma Labor Advocate (weekly). Fridays. Established 1909, $1.50. Labor Advocate Publishing Co., 115154 Broad way, Tacoma, Wash."
"West Virginia Federationist, The (weekly)","The Federationist Company, P. O. Box 1207, Charleston, W. Va. Frank W. Snyder","Official organ, Central Labor Union, etc. International Labor News. Uses mats.",General Labor (U.S.),"West Virginia Federationist, The (weekly). Thursdays. Es tablished 1915, 8 pages, $150, circulation 6,800. The Federationist Company, P. O. Box 1207, Charleston, W. Va. Frank W. Snyder, ed. Official organ, Central Labor Union, etc. International Labor News. Uses mats."
"Marmette Union Laborer, The (weekly)","Marmette, Wisc.",NONE,General Labor (U.S.),"Marmette Union Laborer, The (weekly). Mannette, Wis."
"Labor Advocate, The (fortnightly)","Trades and Labor Assembly, 428 Wisconsin Street, Racine, Wis. William H. Sommers",Federated Press. Sent third class.,General Labor (U.S.),"Labor Advocate, The (fortnightly). Established 1916, 8 pages, $1. circulation 1,000. Trades and Labor Assembly, 428 Wisconsin Street, Racine, Wis. William H. Sommers, ed. Federated Press. Sent third class."
Superior Labor Journal (weekly) Fridays,"Superior, WI",NONE,General Labor (U.S.),"Superior Labor Journal (weekly) Fridays. Established 1897, 6 pages, $2, circulation 2,500. M. M. Krieps, pub. and ed., Superior, Wis."
Wyoming Labor Journal (weekly),"Wyoming Labor Journal Publishing Co. Inc., Box 997, Cheyenne, Wyo. J. Buckley, P. J. Paulsen, James Morgan, eds.","Official organ, State Federation of Labor. International Labor News. Uses mats.",General Labor (U.S.),"Wyoming Labor Journal (weekly). Fridays. Established 1911, 8 pages, $1, 8,000 circulation. Wyoming Labor Journal Publishing Co. Inc., Box 997, Cheyenne, Wyo. J. Buckley, P. J. Paulsen, James Morgan, eds. Official organ, State Federation of Labor. International Labor News. Uses mats."
Alberta Labor News (weekly),"Henry J. Roche, for the Alberta Federation of Labor, 10010 102nd Street, Ed monton, Alberta, Can. Elmer E. Roper","International Labor News, American Federation of Labor Weekly News, Press Reports of the International Federation of Trade Unions, International Press Correspondence. Uses mats. Supports Canadian Labor Party.",Canada,"Alberta Labor News (weekly). Thursdays. Established 1919, 4-8 pages, $2, circulation 4,200. Henry J. Roche, for the Alberta Federation of Labor, 10010 102nd Street, Ed monton, Alberta, Can. Elmer E. Roper, ed. Inter national Labor News, American Federation of Labor Weekly News, Press Reports of the International Fede ration of Trade Unions, International Press Correspon dence. Uses mats. Supports Canadian Labor Party."
L 'Artisan (monthly),"20 St. Denis Street, Montreal, Canada",Catholic,Canada,"L 'Artisan (monthly). La Societe des Artisans, 20 St. Denis Street, Montreal, Can., Catholic."
"Booster, The (monthly)","Toronto, Ontario, Canada",NONE,Canada,"Booster, The (monthly). Brotherhood of Dominion Express Employees, Toronto, Ontario, Can."
British Columbia Federationist (weekly),"Cowan Brookhouse Limited, 1129 Howe Street, Vancouver, British, Columbia, Canada. George Hartley",Uses mats. Official organ of Federated Labor Party of British Columbia.,Canada,"British Columbia Federationist (weekly). Fridays. Established 1908, 4 pages, $2.50, circulation 6,500. Cowan Brook- house Limited, 1129 Howe Street, Vancouver, British, Columbia, Canada. George Hartley, ed. Uses mats. Official organ of Federated Labor Party of British Columbia."
British Columbia Musician (monthly),"991 Nelson Street, Van couver, B. C., Canada. E. C. Miller, Edward Jamieson, eds.",NONE,Canada,"British Columbia Musician (monthly). Established 1923, 8 pages, circulation 1,000. Musicians' union, local 145, American Federation of Musicians, 991 Nelson Street, Van couver, B. C., Canada. E. C. Miller, Edward Jamieson, eds."
"Bulletin, The (in","Winnipeg, Manitoba, Can.",NONE,Canada,"Bulletin, The (in.). International Association of Machinists, District Lodge, No. 2, Winnipeg, Manitoba, Can."
"Canadian Barber, The (monthly)","Toronto, Ont., Canada",NONE,Canada,"Canadian Barber, The (monthly). Journeymen Barbers' Federa tion of Ontario, Toronto, Ontario, Can."
Canadian Congress Journal (monthly),"Ltd., 172 McLaren Street, Ottawa, Ont., Canada. Tom Moore",Uses mats.,Canada,"Canadian Congress Journal (monthly). Established 1921, 64-80 pages, $2. Trades and Labor Congress of Canada Pub lishing Co. Ltd., 172 McLaren Street, Ottawa, Ont., Canada. Tom Moore, ed. Uses mats."
"Canadian Cooperator, The (monthly)","The Cooperative Union of Canada, 215 Nelson Street, Brantford, Ont., Canada. George Keen","Official organ, The Cooperative Union of Canada (national federation of cooperative societies",Canada,"Canadian Cooperator, The (monthly). Established 1909, 16 pages, $.75, circulation 2,500. The Cooperative Union of Canada, 215 Nelson Street, Brantford, Ont., Canada. George Keen, ed. Official organ, The Cooperative Union of Canada (national federation of cooperative societies)."
Canadian Labor Press (weekly),"246 Sparks Street, Ottawa, Ont., Can.",NONE,Canada,"Canadian Labor Press (weekly). 246 Sparks Street, Ottawa, Ont., Can."
Canadian Railroad Employees Monthly (monthly),"189 Gloucester Street, Ottawa, Ont., Canada. M. M. Maclean",Uses mats,Canada,"Canadian Railroad Employees Monthly (monthly). Established 1909, 24 pages, $2, circulation 12,500. Canadian Brother hood of Railroad Employees, 189 Gloucester Street, Ottawa, Ont., Canada. M. M. Maclean, ed. Uses mats"
Canadian Trades Unionist (monthly),"26 Strathcona Avenue, Toronto, Ontario, Can.",NONE,Canada,"Canadian Trades Unionist (monthly). Canadian Federation of Labor, 26 Strathcona Avenue, Toronto, Ontario, Can."
Carpenters' Monthly Bulletin (monthly),"9 Mountnoel Avenue, Toronto, Ont, Canada. Tennison Jackson",NONE,Canada,"Carpenters' Monthly Bulletin (monthly). Established 1917, 4 pages, circulation 1,700. Ontario Provincial Council of the United Brotherhood of Carpenters and Joiners of America, 9 Mountnoel Avenue, Toronto, Ont, Canada. Tennison Jackson, ed."
"Citizen, The (weekly)","Week's Printing Co. Ltd., 54 Argyle Street, Halifax, N. S., Canada. A committee",En dorsed by Trades and Labor Counci1. Uses mats.,Canada,"Citizen, The (weekly). Fridays. Established 1918, 6 pages, $1, circulation 4,000. Week's Printing Co. Ltd., 54 Argyle Street, Halifax, N. S., Canada. A committee, ed. En dorsed by Trades and Labor Counci1. Uses mats."
"Confederate, The","Brandon, Manitoba, Can.",NONE,Canada,"Confederate, The. Brandon, Manitoba, Can."
"Grain Growers' Guide, The (weekly)","The Grain Growers' Guide Ltd., 290 Vaughan Street, Winnipeg, Man., Canada. G. F. Chipman",NONE,Canada,"Grain Growers' Guide, The (weekly). Wednesdays. Established 1908, 24-60 pages, $1, circulation 75,000. The Grain Growers' Guide Ltd., 290 Vaughan Street, Winnipeg, Man., Canada. G. F. Chipman, ed."
"Labor Leader, The (weekly)","Labor Leader Publishing Co., Ltd., 257 Adelaide Street West, Toronto, Ont. Canada. R. J. Stevenson, W. J. Hevey, eds.",Endorsed by local unions. American Federation of Labor Weekly News.,Canada,"Labor Leader, The (weekly). Fridays. Established 1919, 4-16 pages, $1.50, circulation 27,800. Labor Leader Publish ing Co., Ltd., 257 Adelaide Street West, Toronto, Ont. Canada. R. J. Stevenson, W. J. Hevey, eds. Endorsed by local unions. American Federation of Labor Weekly News."
"Labor News, The (monthly)","Hamilton, Ont., Canada",NONE,Canada,"Labor News, The (monthly). Lister Building, Hamilton, Ontario, Can."
"Labor Statesman, The (weekly)","Vancouver, New Westmin ster and District Trades and Labor Council, 16 Hast ings Street, East, Vancouver, B. C, Canada. Henry William Watts, Parker Williams, eds.",Federated Press. Labor Party.,Canada,"Labor Statesman, The (weekly). Fridays. Established 1924, 8 pages, $2, circulation 4,700. Vancouver, New Westmin ster and District Trades and Labor Council, 16 Hast ings Street, East, Vancouver, B. C, Canada. Henry William Watts, Parker Williams, eds. Federated Press. Labor Party."
"Labor World, The. Le Monde Ouvrier (weekly)","Montreal Trades and Labor Council, Gus. Francq, in trust, 11 St. Paul Street, W., Montreal, Que., Canada. - Gus Francq","Bi-lingual, English and French.",Canada,"Labor World, The. Le Monde Ouvrier (weekly). Fridays. Established 1916, 4 pages, $2, circulation 4,500. Montreal Trades and Labor Council, Gus. Francq, in trust, 11 St. Paul Street, W., Montreal, Que., Canada. - Gus Francq, ed. Bi-lingual, English and French."
Maritime Labor Herald (weekly),"Ltd., Union Street, Glace Bay, N. S., Canada.",69 per cent of stock held by organized labor. Federated Press. Uses mats. Radical.,Canada,"Maritime Labor Herald (weekly). Established 1921, 8 pages, $2, circulation 5,000. Maritime Labor Herald Co. Ltd., Union Street, Glace Bay, N. S., Canada. 69 per cent of stock held by organized labor. Federated Press. Uses mats. Radical."
New Democracy (weekly),"Hamilton, Ont., Can.",NONE,Canada,"New Democracy (weekly). Lister Building, Hamilton, Ontario, Can."
"One Big Union Bulletin, The (weekly)","54 Adelaide Street, Winnipeg, Manitoba, Can.",NONE,Canada,"One Big Union Bulletin, The (weekly). The One Big Union, 54 Adelaide Street, Winnipeg, Manitoba, Can."
"Ontario Fire Fighter, The (monthly)","132 Bellevue Avenue, Toronto, Ont., Canada.  David H. Lamb",Uses mats.,Canada,"Ontario Fire Fighter, The (monthly). Established 1920, 12 pages, $2, circulation 2,456. Provincial Federation of Ontario Fire Fighters, 132 Bellevue Avenue, Toronto, Ont., Canada. David H. Lamb, ed. Uses mats."
"Organizer, The (monthly)","The Amalgamated Civil Servants of Canada, 2041 Halifax Street, Regina, Sask., Canada. W. A. Squires",NONE,Canada,"Organizer, The (monthly). Established 1921, 4 pages, $2.50, cir culation 2,000. The Amalgamated Civil Servants of Canada, 2041 Halifax Street, Regina, Sask., Canada. W. A. Squires, ed."
Trade Report (monthly),"Toronto, Ont., Canada",NONE,Canada,"Trade Report (monthly). Ontario Provincial Council, United Brotherhood of Carpenters and Joiners, Toronto, On tario, Can."
U.F.A.,"Lougheed Building, Calgary, Alberta, Canada. W. Norman Smith, A. M. Turner, eds.",NONE,Canada,"U. F. A., The Official Organ of the United Farmers of Alberta (fortnightly). Established 1922, 16-40 pages, $2, circula tion 22,322. The United Farmers of Alberta, Lougheed Building, Calgary, Alberta, Canada. W. Norman Smith, A. M. Turner, eds. Uses mats."
Western Clarion (fortnightly),"P. O. Box 710, Vancouver, B. C., Canada. Ewen MacLeod",Academic and educational.,Canada,"Western Clarion (fortnightly). Established 1905, 8 pages, $1, cir culation 4,000. Socialist Party of Canada, P. O. Box 710, Vancouver, B. C., Canada. Ewen MacLeod, ed. Academic and educational."
Western Union Printer (monthly),"Medicine Hat, Alberta, Can.",NONE,Canada,"Western Union Printer (monthly). Western Canada Conference of Typographical Unions, Medicine Hat, Alberta, Can."
"Worker, The (weekly)","Worker Publishing Association, Room 301, Tyrell Building, 95 King Street, E., Toronto, Ont., Canada. Maurice Specter","Official organ, Communist Party of Canada. Federated Press. "" Uses mats.",Canada,"Worker, The (weekly). Saturdays. Established 1922, 4 pages, $2, circulation 5,000. Worker Publishing Association, Room 301, Tyrell Building, 95 King Street, E., Toronto, Ont., Canada. Maurice Specter, ed. Official organ, Communist Party of Canada. Federated Press. "" Uses mats."
"Workers' Weekly, The (weekly)","Muir and Bell, Stellarton, Nova Scotia, Canada.",NONE,Canada,"Workers' Weekly, The (weekly). Muir and Bell, Stellarton, Nova Scotia, Canada."
"Humanidad, La (weekly)","Plaza de las Vizcainas 3, Mexico, D. F.",Anarcho-syndicalist.,Mexico,"Humanidad, La (weekly). General Confederation of Labor, Plaza de las Vizcainas 3, Mexico, D. F. Anarcho-syndicalist."
Crora (fortnightly),"Mexican Federation of Labor, Belisario Dominguez 64, Mexico City",NONE,Mexico,"Crora (fortnightly). Mexican Federation of Labor, Belisario Dominguez 64, Mexico City."
